REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-45_beta_0.2.pcm	 0.461	 1.073	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_45_beta_0.2.pcm	 0.496	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-60_beta_0.2.pcm	 0.566	 1.085	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_60_beta_0.2.pcm	 0.509	 1.078	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-75_beta_0.2.pcm	 0.389	 1.066	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_75_beta_0.2.pcm	 0.554	 1.084	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_-90_beta_0.2.pcm	 0.398	 1.066	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_4_degree_90_beta_0.2.pcm	 0.521	 1.080	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_0_beta_0.2.pcm	 0.252	 1.053	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-15_beta_0.2.pcm	 0.134	 1.045	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_15_beta_0.2.pcm	 0.136	 1.045	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-30_beta_0.2.pcm	 0.401	 1.067	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_30_beta_0.2.pcm	 0.180	 1.048	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-45_beta_0.2.pcm	 0.546	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_45_beta_0.2.pcm	 0.375	 1.064	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-60_beta_0.2.pcm	 0.447	 1.071	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_60_beta_0.2.pcm	 0.418	 1.068	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-75_beta_0.2.pcm	 0.627	 1.093	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_75_beta_0.2.pcm	 0.519	 1.080	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_-90_beta_0.2.pcm	 0.541	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_5_degree_90_beta_0.2.pcm	 0.522	 1.080	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_0_beta_0.2.pcm	 0.132	 1.045	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-15_beta_0.2.pcm	 0.372	 1.064	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_15_beta_0.2.pcm	 0.549	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-30_beta_0.2.pcm	 0.533	 1.081	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_30_beta_0.2.pcm	 0.274	 1.055	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-45_beta_0.2.pcm	 0.588	 1.088	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_45_beta_0.2.pcm	 0.299	 1.057	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-60_beta_0.2.pcm	 0.501	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_60_beta_0.2.pcm	 0.429	 1.070	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-75_beta_0.2.pcm	 0.543	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_75_beta_0.2.pcm	 0.438	 1.071	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_-90_beta_0.2.pcm	 0.323	 1.059	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_6_degree_90_beta_0.2.pcm	 0.495	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_0_beta_0.2.pcm	 0.216	 1.051	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_-15_beta_0.2.pcm	 0.667	 1.099	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_15_beta_0.2.pcm	 0.549	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_-30_beta_0.2.pcm	 0.296	 1.057	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_30_beta_0.2.pcm	 0.588	 1.088	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_-45_beta_0.2.pcm	 0.545	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_45_beta_0.2.pcm	 0.286	 1.056	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_-60_beta_0.2.pcm	 0.346	 1.061	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_60_beta_0.2.pcm	 0.391	 1.066	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_-75_beta_0.2.pcm	 0.668	 1.099	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_75_beta_0.2.pcm	 0.629	 1.094	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_-90_beta_0.2.pcm	 0.538	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_7_degree_90_beta_0.2.pcm	 0.517	 1.079	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_0_beta_0.2.pcm	 0.292	 1.057	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_-15_beta_0.2.pcm	 0.640	 1.095	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_15_beta_0.2.pcm	 0.312	 1.058	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_-30_beta_0.2.pcm	 0.663	 1.098	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_30_beta_0.2.pcm	 0.712	 1.106	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_-45_beta_0.2.pcm	 0.647	 1.096	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_-60_beta_0.2.pcm	 0.426	 1.069	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_45_beta_0.2.pcm	 0.410	 1.068	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_60_beta_0.2.pcm	 0.339	 1.061	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_-75_beta_0.2.pcm	 0.354	 1.062	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_75_beta_0.2.pcm	 0.381	 1.065	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_-90_beta_0.2.pcm	 0.637	 1.095	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_8_degree_90_beta_0.2.pcm	 0.582	 1.087	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_0_beta_0.2.pcm	 0.056	 1.040	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_-15_beta_0.2.pcm	 0.309	 1.058	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_15_beta_0.2.pcm	 0.497	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_-30_beta_0.2.pcm	 0.186	 1.048	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_30_beta_0.2.pcm	 0.380	 1.065	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_-45_beta_0.2.pcm	 0.556	 1.084	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_45_beta_0.2.pcm	 0.410	 1.068	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_-60_beta_0.2.pcm	 0.504	 1.078	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_60_beta_0.2.pcm	 0.285	 1.056	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_-75_beta_0.2.pcm	 0.492	 1.076	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_75_beta_0.2.pcm	 0.366	 1.063	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_-90_beta_0.2.pcm	 0.378	 1.064	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_1_10_2_dist_9_degree_90_beta_0.2.pcm	 0.280	 1.056	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_0_beta_0.2.pcm	 0.222	 1.051	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_0_beta_0.3.pcm	 0.150	 1.046	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-15_beta_0.2.pcm	 0.448	 1.072	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_15_beta_0.2.pcm	 0.266	 1.055	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-15_beta_0.3.pcm	 0.592	 1.089	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_15_beta_0.3.pcm	 0.523	 1.080	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-30_beta_0.2.pcm	 0.400	 1.067	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_30_beta_0.2.pcm	 0.345	 1.061	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-30_beta_0.3.pcm	 0.316	 1.059	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_30_beta_0.3.pcm	 0.596	 1.089	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-45_beta_0.2.pcm	 0.538	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_45_beta_0.2.pcm	 0.482	 1.075	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-45_beta_0.3.pcm	 0.595	 1.089	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_45_beta_0.3.pcm	 0.609	 1.091	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-60_beta_0.2.pcm	 0.378	 1.064	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_60_beta_0.2.pcm	 0.426	 1.069	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-60_beta_0.3.pcm	 0.497	 1.077	 16000	nb
